employee_id,first_name,last_name,role,contract_type,contract_hours,is_qualified_pharmacist,license_number,hire_date,remaining_vacation,monthly_salary_range,pharmacy_id,city
EMP72160,Irène,Bernard,pharmacien_titulaire,CDD,30,True,RP210864,2022-10-28,9,3740-4821,PHARM6945,Reims
EMP92167,Sophie,Fournier,stagiaire,CDI,30,False,,2022-01-18,23,1745-4547,PHARM6945,Paris
EMP87098,Laurent,Leclerc,pharmacien_titulaire,CDI,30,True,RP200872,2023-06-11,16,2211-4516,PHARM6945,Le Mans
EMP16526,Michel,Dubois,préparateur,CDI,30,False,,2023-07-01,12,2533-4316,PHARM6945,Strasbourg
EMP99920,Danielle,Michel,pharmacien_adjoint,CDD,25,True,RP297904,2022-07-24,8,2520-4653,PHARM6945,Paris
EMP92710,Olivier,Renaud,pharmacien_adjoint,CDI,35,True,RP657387,2021-12-31,25,3258-4491,PHARM6945,Le Mans
EMP76442,Alain,Simon,préparateur,CDI,20,False,,2023-05-28,9,2339-4505,PHARM6945,Nantes
EMP51665,Laurent,Renaud,pharmacien_adjoint,CDD,20,True,RP295230,2022-03-28,10,2851-4386,PHARM6945,Nantes
EMP62782,Christian,Laurent,préparateur,CDD,25,False,,2020-12-11,22,3038-4584,PHARM6945,Rennes
EMP76360,Cécile,Renaud,pharmacien_titulaire,CDD,40,True,RP458614,2023-10-23,16,3541-4350,PHARM6945,Toulon
EMP65434,Joseph,Poulain,pharmacien_titulaire,CDD,20,True,RP440123,2020-09-11,25,3312-4865,PHARM6945,Lille
EMP28835,Philippe,Fabre,pharmacien_adjoint,CDI,30,True,RP878568,2022-04-04,21,3160-4656,PHARM6945,Grenoble
EMP76841,Jacques,Arnould,pharmacien_adjoint,CDD,40,True,RP606948,2021-01-27,1,2822-4191,PHARM6945,Nice
EMP64149,Marc,Blanc,pharmacien_adjoint,CDI,20,True,RP483882,2020-10-27,1,2273-4721,PHARM6945,Montpellier
EMP88160,Laurent,Arnould,préparateur,CDI,35,False,,2020-05-03,1,1783-4224,PHARM6945,Reims
EMP69721,Joseph,Martin,préparateur,CDD,20,False,,2020-12-22,10,2439-4613,PHARM6945,Angers
EMP50680,Danielle,Leroy,stagiaire,CDI,35,False,,2020-07-03,7,2487-4516,PHARM6945,Brest
EMP20467,Christine,Fournier,employé_rayon,CDI,35,False,,2020-10-25,18,3586-4342,PHARM6945,Le Mans
EMP89623,Nathalie,Bernard,préparateur,CDI,20,False,,2022-03-29,12,3088-4773,PHARM6945,Grenoble
EMP87140,René,Girard,stagiaire,CDD,25,False,,2022-02-16,25,3030-4116,PHARM6945,Amiens
EMP86320,René,Martin,stagiaire,CDI,25,False,,2020-02-11,12,2778-4512,PHARM6945,Toulouse
EMP93540,André,Michel,préparateur,CDI,30,False,,2021-02-25,15,3098-5000,PHARM6945,Bordeaux
EMP81329,Georges,Chevalier,employé_rayon,CDI,20,False,,2021-01-10,2,2506-4818,PHARM6945,Saint-Étienne
EMP11505,Alain,Michel,employé_rayon,CDI,25,False,,2021-07-09,11,2670-4329,PHARM6945,Saint-Étienne
EMP69324,Valérie,Gaillard,préparateur,CDI,30,False,,2023-02-14,17,1544-4938,PHARM6945,Rouen
EMP57228,Michel,Blanc,préparateur,CDD,35,False,,2023-08-10,20,3711-4705,PHARM6945,Le Havre
EMP68457,Christine,Martin,stagiaire,CDI,20,False,,2021-02-13,5,2630-4225,PHARM6945,Rennes
EMP56198,Isabelle,Fournier,employé_rayon,CDD,35,False,,2020-05-19,17,3469-4514,PHARM6945,Strasbourg
EMP46159,Danielle,Gérard,employé_rayon,CDI,25,False,,2020-12-28,23,1778-4221,PHARM6945,Saint-Étienne
EMP38625,Christiane,Bernard,préparateur,CDD,30,False,,2020-04-22,10,3312-4664,PHARM6945,Montpellier
EMP88452,Marie,Martin,préparateur,CDD,20,False,,2020-11-05,5,2611-4574,PHARM6945,Limoges
EMP52916,Martine,Gérard,préparateur,CDD,20,False,,2020-01-16,17,3358-4856,PHARM6945,Montpellier
EMP10664,Pierre,Fabre,pharmacien_titulaire,CDD,25,True,RP519071,2022-01-26,16,2454-4800,PHARM6945,Toulon
EMP43236,Sophie,Bernier,pharmacien_titulaire,CDI,30,True,RP389316,2021-11-23,21,1607-4364,PHARM6945,Lyon
EMP47051,Marie,Roux,employé_rayon,CDD,40,False,,2023-07-04,13,3248-4223,PHARM6945,Nîmes
EMP66285,Joseph,Fontaine,pharmacien_adjoint,CDI,25,True,RP695806,2022-10-20,19,3686-4475,PHARM6945,Toulouse
EMP76785,Sophie,Leroy,employé_rayon,CDD,20,False,,2021-02-15,2,3821-4554,PHARM6945,Toulouse
EMP16097,Pierre,Poulain,employé_rayon,CDI,20,False,,2022-03-06,8,2086-4579,PHARM6945,Paris
EMP87652,Philippe,Delorme,pharmacien_adjoint,CDD,40,True,RP919260,2023-02-08,14,3177-4385,PHARM6945,Saint-Denis
EMP34741,Nathalie,Lefevre,employé_rayon,CDI,35,False,,2020-06-18,7,3351-4361,PHARM6945,Nîmes
EMP33870,Luc,Delorme,pharmacien_titulaire,CDD,20,True,RP101006,2023-09-10,20,1885-4966,PHARM6945,Le Mans
EMP67059,Christiane,Martin,préparateur,CDD,40,False,,2023-08-25,0,3403-4806,PHARM6945,Montpellier
EMP35306,Pierre,Poirier,préparateur,CDD,25,False,,2023-10-12,2,3700-4351,PHARM6945,Rennes
EMP16087,André,Benoit,employé_rayon,CDI,30,False,,2020-08-15,5,1819-4765,PHARM6945,Amiens
EMP71300,Valérie,Laurent,préparateur,CDD,30,False,,2020-09-06,2,3777-4571,PHARM6945,Aix-en-Provence
EMP59368,Christiane,Gaillard,pharmacien_adjoint,CDI,25,True,RP635957,2020-06-19,19,1768-4845,PHARM6945,Clermont-Ferrand
EMP69699,Alain,Renaud,préparateur,CDD,30,False,,2022-10-12,4,1823-4463,PHARM6945,Angers
EMP19801,Jean,Moreau,préparateur,CDD,40,False,,2022-01-14,23,3193-4469,PHARM6945,Toulouse
EMP44811,Florence,Fabre,préparateur,CDD,35,False,,2023-04-15,5,2911-4946,PHARM6945,Aix-en-Provence
EMP86763,Françoise,Rousseau,pharmacien_adjoint,CDD,20,True,RP917192,2020-08-17,7,3430-4682,PHARM6945,Toulouse
EMP45460,Luc,Andre,pharmacien_adjoint,CDI,25,True,RP576199,2023-11-18,0,2913-4772,PHARM6945,Saint-Denis
EMP25809,Marie,Girard,pharmacien_adjoint,CDI,20,True,RP671951,2021-03-23,15,3996-4305,PHARM6945,Lyon
EMP79714,Christiane,Girard,préparateur,CDD,30,False,,2023-02-08,5,3924-4155,PHARM6945,Amiens
EMP30908,Olivier,Poulain,employé_rayon,CDI,20,False,,2020-12-07,22,2367-4367,PHARM6945,Brest
EMP18030,Catherine,Arnould,préparateur,CDD,20,False,,2020-02-09,16,2063-4372,PHARM6945,Angers
EMP29117,André,Roux,préparateur,CDD,25,False,,2023-08-20,2,3649-4394,PHARM6945,Le Mans
EMP68832,Catherine,Girard,stagiaire,CDD,20,False,,2023-07-01,5,2735-4844,PHARM6945,Strasbourg
EMP84523,Paul,Bernard,préparateur,CDD,35,False,,2020-10-24,21,2755-4472,PHARM6945,Strasbourg
EMP12257,Luc,Laurent,pharmacien_titulaire,CDD,20,True,RP590276,2021-12-29,1,2346-4751,PHARM6945,Amiens
EMP67753,Marc,Bernard,pharmacien_adjoint,CDD,40,True,RP825964,2023-05-02,16,3135-4258,PHARM6945,Clermont-Ferrand
EMP22649,Luc,Leroy,employé_rayon,CDD,30,False,,2022-08-24,1,1541-4104,PHARM6945,Le Mans
EMP98120,Georges,Arnould,employé_rayon,CDI,35,False,,2020-02-22,9,2511-4756,PHARM6945,Saint-Denis
EMP20339,Françoise,Poirier,préparateur,CDD,20,False,,2022-11-26,9,2454-4891,PHARM6945,Brest
EMP84521,Cécile,Leclerc,préparateur,CDI,25,False,,2020-12-19,20,2669-4353,PHARM6945,Rennes
EMP88991,Nathalie,Renaud,pharmacien_titulaire,CDD,35,True,RP237021,2021-07-14,4,3514-4205,PHARM6945,Paris
EMP43866,Françoise,Delacroix,préparateur,CDD,40,False,,2020-09-06,0,3464-4846,PHARM6945,Angers
EMP30635,Marc,Martin,pharmacien_titulaire,CDI,20,True,RP630431,2021-05-01,5,1513-4227,PHARM6945,Lyon
EMP27620,Jacques,Blanc,pharmacien_titulaire,CDI,20,True,RP985617,2021-10-02,16,1716-4832,PHARM6945,Toulon
EMP86225,Michel,Renaud,préparateur,CDD,35,False,,2021-04-02,10,2929-4956,PHARM6945,Bordeaux
EMP77144,Michel,Bernier,employé_rayon,CDI,30,False,,2020-05-30,6,1924-4523,PHARM6945,Grenoble
EMP40062,Michèle,Lefevre,pharmacien_titulaire,CDI,20,True,RP661601,2021-10-27,25,3788-4928,PHARM6945,Grenoble
EMP62367,Anne,Michel,pharmacien_adjoint,CDI,25,True,RP552932,2021-10-02,6,1629-4658,PHARM6945,Reims
EMP90724,Jean-Paul,Laurent,stagiaire,CDI,40,False,,2021-09-23,13,1587-4508,PHARM6945,Paris
EMP59253,Pierre,Martin,pharmacien_adjoint,CDI,35,True,RP136187,2021-09-22,6,1626-4483,PHARM6945,Toulouse
EMP28419,Paul,Arnould,employé_rayon,CDD,25,False,,2022-07-25,17,2234-4806,PHARM6945,Lille
EMP77314,Danielle,Blanc,pharmacien_titulaire,CDI,30,True,RP698728,2023-05-04,25,2803-4469,PHARM6945,Grenoble
EMP39246,Michel,Moreau,pharmacien_titulaire,CDI,35,True,RP578217,2022-09-30,15,2060-4833,PHARM6945,Paris
EMP70071,Sophie,Bernard,préparateur,CDI,40,False,,2020-11-13,1,3779-4972,PHARM6945,Grenoble
EMP22659,Nathalie,Lefevre,préparateur,CDD,25,False,,2023-07-23,19,2984-4927,PHARM6945,Strasbourg
EMP79456,René,Maillard,pharmacien_titulaire,CDI,20,True,RP939517,2023-03-18,5,1597-4277,PHARM6945,Bordeaux
EMP39307,Sylvie,Renaud,stagiaire,CDI,20,False,,2023-11-20,4,3406-4375,PHARM6945,Rennes
EMP13516,Marie,Morin,employé_rayon,CDD,40,False,,2020-10-25,20,3804-4150,PHARM6945,Bordeaux
EMP53679,Olivier,Benoit,pharmacien_titulaire,CDI,25,True,RP975466,2022-07-28,10,3788-4322,PHARM6945,Le Havre
EMP17619,Olivier,Gérard,préparateur,CDD,40,False,,2021-06-30,11,3331-4905,PHARM6945,Lille
EMP20908,Pierre,Bernier,préparateur,CDI,35,False,,2023-12-24,14,2621-4310,PHARM6945,Amiens
EMP47053,Thierry,Fontaine,employé_rayon,CDD,30,False,,2022-06-13,5,2752-4506,PHARM6945,Marseille
EMP84997,Florence,Chevalier,employé_rayon,CDI,40,False,,2021-10-19,3,3124-4962,PHARM6945,Nice
EMP61727,Monique,Roux,pharmacien_adjoint,CDD,20,True,RP516521,2022-08-02,24,3832-4972,PHARM6945,Marseille
EMP82178,Laurent,Dupont,préparateur,CDI,30,False,,2023-12-02,12,2778-4792,PHARM6945,Lyon
EMP86791,Françoise,Renaud,préparateur,CDI,35,False,,2020-05-27,10,3460-4774,PHARM6945,Toulouse
EMP95747,Bernard,Gaillard,pharmacien_titulaire,CDD,20,True,RP923783,2022-12-08,3,3642-4413,PHARM6945,Lille
EMP89032,Philippe,Leroy,préparateur,CDD,40,False,,2020-12-29,6,3652-4660,PHARM6945,Clermont-Ferrand
EMP32743,Valérie,Fontaine,stagiaire,CDD,20,False,,2023-03-21,12,2146-4441,PHARM6945,Nantes
EMP35003,Danielle,Martin,préparateur,CDI,40,False,,2021-03-06,2,2131-4808,PHARM6945,Limoges
EMP90904,André,Leclerc,préparateur,CDD,40,False,,2020-02-24,16,3540-4808,PHARM6945,Bordeaux
EMP56046,Cécile,Martin,pharmacien_adjoint,CDI,40,True,RP880374,2020-01-03,22,3981-4775,PHARM6945,Strasbourg
EMP70964,Jacques,Blanc,préparateur,CDD,35,False,,2020-12-14,5,2148-4884,PHARM6945,Saint-Denis
EMP75210,Sophie,Roux,employé_rayon,CDD,20,False,,2020-01-12,22,3107-4726,PHARM6945,Amiens
EMP52059,Danielle,Leclerc,pharmacien_adjoint,CDI,40,True,RP314219,2020-04-12,0,2779-4300,PHARM6945,Saint-Étienne
EMP37671,Françoise,Girard,préparateur,CDI,20,False,,2022-03-28,1,2513-4463,PHARM6945,Marseille
EMP67155,Marie,Chevalier,employé_rayon,CDI,20,False,,2023-07-10,13,2271-4936,PHARM6945,Nice
EMP38348,Florence,Renaud,pharmacien_titulaire,CDD,30,True,RP478739,2020-12-22,8,2540-4711,PHARM6945,Le Mans
EMP62383,Jacques,Girard,employé_rayon,CDD,25,False,,2020-09-06,19,1714-4507,PHARM6945,Toulon
EMP83140,Thierry,Delacroix,employé_rayon,CDD,30,False,,2020-07-17,0,1868-4478,PHARM6945,Toulon
EMP80842,Thérèse,Girard,pharmacien_titulaire,CDI,35,True,RP503118,2022-01-18,22,3802-4936,PHARM6945,Bordeaux
EMP65916,Jean-Paul,Chevalier,pharmacien_adjoint,CDD,30,True,RP705861,2021-02-26,11,2020-4681,PHARM6945,Nantes
EMP64556,Marie,Delorme,pharmacien_adjoint,CDI,40,True,RP808487,2023-11-21,21,2373-4549,PHARM6945,Saint-Denis
EMP84211,Danielle,Bernier,préparateur,CDI,35,False,,2023-06-13,7,2048-4698,PHARM6945,Le Havre
EMP79049,Paul,Gérard,pharmacien_adjoint,CDI,20,True,RP472920,2022-01-03,10,3795-4186,PHARM6945,Montpellier
EMP62885,Jean,Lefevre,préparateur,CDI,40,False,,2021-04-03,12,1522-4475,PHARM6945,Toulon
EMP70504,Sylvie,Gaillard,préparateur,CDI,20,False,,2022-07-25,11,3604-4160,PHARM6945,Reims
EMP63795,Catherine,Poirier,préparateur,CDD,20,False,,2020-03-11,25,2702-4969,PHARM6945,Paris
EMP47001,Catherine,Simon,employé_rayon,CDD,30,False,,2021-05-05,11,1874-4940,PHARM6945,Nîmes
EMP38149,Valérie,Simon,employé_rayon,CDD,30,False,,2021-05-14,6,2314-4281,PHARM6945,Bordeaux
EMP15555,René,Chevalier,préparateur,CDD,25,False,,2022-08-01,17,2768-4426,PHARM6945,Le Mans
EMP45733,Marie,Fournier,pharmacien_adjoint,CDI,40,True,RP489259,2023-10-31,17,3328-4400,PHARM6945,Rennes
EMP63020,Thérèse,Delacroix,pharmacien_adjoint,CDD,20,True,RP362929,2020-03-10,6,2910-4571,PHARM6945,Toulouse
EMP86970,Christiane,Gaillard,pharmacien_titulaire,CDD,30,True,RP709763,2020-05-31,14,3071-4815,PHARM6945,Bordeaux
EMP10139,Jacques,Blanc,préparateur,CDD,25,False,,2020-09-22,17,3882-4187,PHARM6945,Nice
EMP13191,René,Simon,préparateur,CDD,20,False,,2023-04-10,3,3743-4781,PHARM6945,Bordeaux
EMP21527,Daniel,Martin,préparateur,CDI,30,False,,2022-06-15,17,3088-4407,PHARM6945,Brest
EMP51521,Luc,Delacroix,employé_rayon,CDI,20,False,,2021-02-24,11,3740-4283,PHARM6945,Marseille
